Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
100103,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
100109,7/27/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Váy,Váy liền,430000,430000
100111,7/27/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn hàng spam,,Chị,,Quần,Quần tây,420000,420000
100146,7/27/2023,Instagram,0,complete,1,89 Láng Hạ,pending,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
103244,7/27/2023,Instagram,0,complete,2,Kho Online,complete,,Tự vận chuyển,Chị,,Váy,Váy liền,430000,860000
103246,7/27/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn hàng spam,,Chị,,Quần,Quần tây,420000,420000
103252,7/27/2023,Facebook,0,confirmed,1,Kho Online,confirmed,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
103267,7/27/2023,Instagram,0,cancel,1,Kho Online,cancel,Tham khảo so sánh giá,,Chị,,Quần,Quần ống rộng,380000,380000
103268,7/27/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
103272,7/27/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103280,7/27/2023,Instagram,0,complete,1,Kho Online,pending,Trả góp không thành công,Hãng vận chuyển,Chị,,Daily use,Sơ mi dài,300000,300000
103285,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Đặt trước,Chị,,Daily use,Áo croptop sơ mi,280000,280000
103290,7/27/2023,Instagram,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Tham khảo so sánh giá,,Chị,,Daily use,Sơ mi dài,300000,300000
103301,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Tham khảo so sánh giá,,Chị,,Áo (mùa hè),Áo phông,300000,300000
103344,7/28/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Áo croptop sơ mi,280000,280000
103345,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn trùng,,Chị,,Váy,Chân váy,310000,310000
103354,7/28/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Váy,Váy liền,430000,430000
103367,7/28/2023,Facebook,0,prepared,1,Kho Online,prepared,,Đặt trước,Chị,,Váy,Váy liền,430000,430000
103368,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Quần,Quần jeans,370000,370000
